"ReleaseId","Path","Class","Buggy","CodeSmells","NSmells","Touches","TotalTouches","IssueTouches","TotalIssueTouches","Authors","TotalAuthors","AddedLines","DeletedLines","Churn","TotalChurn","prevBuggy","AgeInReleases"
"release-1.3.1","/lang/java/src/java/org/apache/avro/file/DataFileReader.java/","org.apache.avro.file.DataFileReader","yes","1","2","0","3","0","3","0","1","0","0","0","126","yes","2"
"release-1.3.1","/lang/java/src/java/org/apache/avro/ipc/Responder.java/","org.apache.avro.ipc.Responder","yes","0","3","0","3","0","3","0","1","0","0","0","24","yes","2"
"release-1.3.1","/lang/java/src/java/org/apache/avro/specific/SpecificCompiler.java/","org.apache.avro.specific.SpecificCompiler","yes","4","7","0","4","0","4","0","2","0","0","0","33","yes","2"
"release-1.3.1","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema.BytesSchema","yes","0","0","0","7","0","7","0","3","0","0","0","292","yes","2"
"release-1.3.1","/lang/java/src/java/org/apache/avro/reflect/ReflectData.java/","org.apache.avro.reflect.ReflectData.AllowNull","yes","1","1","0","5","0","5","0","2","0","0","0","67","yes","2"
"release-1.3.1","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema.IntSchema","yes","0","0","0","7","0","7","0","3","0","0","0","292","yes","2"
"release-1.3.1","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema.ArraySchema","yes","4","5","0","7","0","7","0","3","0","0","0","292","yes","2"
"release-1.3.1","/lang/java/src/java/org/apache/avro/file/DataFileStream.java/","org.apache.avro.file.DataFileStream.DataBlock","yes","0","0","0","7","0","7","0","2","0","0","0","210","yes","2"
"release-1.3.1","/lang/java/src/java/org/apache/avro/specific/SpecificCompiler.java/","org.apache.avro.specific.SpecificCompiler.SpecificCompilerTool","yes","2","3","0","4","0","4","0","2","0","0","0","33","yes","2"
"release-1.3.1","/lang/java/src/java/org/apache/avro/file/DataFileStream.java/","org.apache.avro.file.DataFileStream","yes","7","9","0","7","0","7","0","2","0","0","0","210","yes","2"
"release-1.3.1","/lang/java/src/java/org/apache/avro/generic/GenericRequestor.java/","org.apache.avro.generic.GenericRequestor","yes","0","1","0","2","0","2","0","1","0","0","0","14","yes","2"
"release-1.3.1","/lang/java/src/java/org/apache/avro/io/parsing/ResolvingGrammarGenerator.java/","org.apache.avro.io.parsing.ResolvingGrammarGenerator","yes","9","13","0","10","0","10","0","2","0","0","0","202","yes","2"
"release-1.3.1","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema.Names","yes","0","1","0","7","0","7","0","3","0","0","0","292","yes","2"
"release-1.3.1","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema.Name","yes","4","6","0","7","0","7","0","3","0","0","0","292","yes","2"
"release-1.3.1","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema.FloatSchema","yes","0","0","0","7","0","7","0","3","0","0","0","292","yes","2"
"release-1.3.1","/lang/java/src/java/org/apache/avro/reflect/ReflectResponder.java/","org.apache.avro.reflect.ReflectResponder","yes","0","0","0","1","0","1","0","1","0","0","0","0","yes","2"
"release-1.3.1","/lang/java/src/java/org/apache/avro/ipc/RPCContext.java/","org.apache.avro.ipc.RPCContext","yes","2","2","0","2","0","2","0","1","0","0","0","6","yes","2"
"release-1.3.1","/lang/java/src/java/org/apache/avro/file/DataFileWriter.java/","org.apache.avro.file.DataFileWriter","yes","3","5","0","6","0","6","0","2","0","0","0","218","yes","2"
"release-1.3.1","/lang/java/src/java/org/apache/avro/file/DataFileWriter.java/","org.apache.avro.file.DataFileWriter.BufferedFileOutputStream","yes","1","1","0","6","0","6","0","2","0","0","0","218","yes","2"
