Project,Path,Class,ReleaseId,LOC,StmtCount,Cyclomatic,Cognitive,DistinctOperators,DistinctOperands,TotalOperators,TotalOperands,Vocabulary,Length,Volume,Difficulty,Effort,MaxNestingDepth,isLongMethod,isGodClass,isFeatureEnvy,isDuplicatedCode,CodeSmells,NSmells,SmellDensity,Touches,TotalTouches,IssueTouches,TotalIssueTouches,Authors,TotalAuthors,AddedLines,DeletedLines,Churn,TotalChurn,prevCodeSmells,AgeInReleases,prevBuggy,Buggy
avro,/lang/java/src/java/org/apache/avro/file/NullCodec.java/,"org.apache.avro.file.NullCodec.Option",release-1.3.2,6,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,5,5,5,5,2,2,89,25,114,114,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/Schema.java/,"org.apache.avro.Schema.Field.Order",release-1.3.2,5,2,1,0,1,2,1,2,3.0,3.0,4.754887502163469,0.5,2.3774437510817346,0,0,0,0,0,0,0,0.0000,7,7,7,7,3,3,233,59,292,292,0,1,no,yes
avro,/lang/java/src/java/org/apache/avro/io/parsing/Symbol.java/,"org.apache.avro.io.parsing.Symbol.WriterUnionAction",release-1.3.2,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,10,10,10,10,2,2,217,49,266,266,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/Schema.java/,"org.apache.avro.Schema.BooleanSchema",release-1.3.2,3,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,7,7,7,7,3,3,233,59,292,292,0,1,no,yes
avro,/lang/java/src/java/org/apache/avro/io/parsing/Symbol.java/,"org.apache.avro.io.parsing.Symbol.EnumAdjustAction",release-1.3.2,7,3,1,0,1,2,1,2,3.0,3.0,4.754887502163469,0.5,2.3774437510817346,0,0,0,0,0,2,2,0.2857,10,10,10,10,2,2,217,49,266,266,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/io/parsing/Symbol.java/,"org.apache.avro.io.parsing.Symbol.ImplicitAction",release-1.3.2,17,5,2,0,1,3,1,3,4.0,4.0,8.0,0.5,4.0,0,0,0,0,0,0,0,0.0000,10,10,10,10,2,2,217,49,266,266,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/Schema.java/,"org.apache.avro.Schema.LockableArrayList",release-1.3.2,67,36,14,1,1,17,1,31,18.0,32.0,133.437600046154,0.9117647058823529,121.66369415972864,1,0,0,0,0,8,8,0.1194,7,7,7,7,3,3,233,59,292,292,0,1,no,yes
avro,/lang/java/src/java/org/apache/avro/file/DataFileWriter.java/,"org.apache.avro.file.DataFileWriter.BufferedFileOutputStream.PositionFilter",release-1.3.2,7,5,2,0,1,6,1,8,7.0,9.0,25.26619429851844,0.6666666666666666,16.844129532345626,0,0,0,1,0,1,2,0.2857,6,6,6,6,2,2,177,41,218,218,0,1,no,yes
avro,/lang/java/src/java/org/apache/avro/io/parsing/Parser.java/,"org.apache.avro.io.parsing.Parser.ActionHandler",release-1.3.2,13,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,6,6,6,6,2,2,121,95,216,216,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/ipc/stats/Histogram.java/,"org.apache.avro.ipc.stats.Histogram.Segmenter",release-1.3.2,16,0,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,1,1,1,1,1,1,0,0,0,0,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/ipc/HttpTransceiver.java/,"org.apache.avro.ipc.HttpTransceiver",release-1.3.2,81,53,13,4,8,47,21,121,55.0,142.0,820.9530793205017,10.297872340425531,8454.070008321762,3,0,0,1,0,0,1,0.0123,2,2,2,2,1,1,4,3,7,7,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/Schema.java/,"org.apache.avro.Schema.NamedSchema",release-1.3.2,38,32,13,4,5,21,8,47,26.0,55.0,258.5241844977601,5.595238095238095,1446.504365642229,2,0,1,1,0,7,9,0.2368,7,7,7,7,3,3,233,59,292,292,0,1,no,yes
avro,/lang/java/src/java/org/apache/avro/io/BinaryDecoder.java/,"org.apache.avro.io.BinaryDecoder.ByteSource",release-1.3.2,151,52,15,3,7,27,26,107,34.0,133.0,676.6325578862952,13.87037037037037,9385.144182533984,2,0,1,1,0,0,2,0.0132,4,4,4,4,2,2,847,165,1012,1012,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/specific/SpecificCompiler.java/,"org.apache.avro.specific.SpecificCompiler.OutputFile",release-1.3.2,20,10,1,0,0,9,0,12,9.0,12.0,38.03910001730775,0.0,0.0,0,0,0,1,0,1,2,0.1000,4,4,4,4,2,2,16,17,33,33,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/reflect/ReflectRequestor.java/,"org.apache.avro.reflect.ReflectRequestor",release-1.3.2,44,15,7,0,0,14,0,30,14.0,30.0,114.22064766172811,0.0,0.0,0,0,0,1,0,0,1,0.0227,1,1,1,1,1,1,0,0,0,0,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/util/Utf8.java/,"org.apache.avro.util.Utf8",release-1.3.2,69,49,17,7,8,22,18,58,30.0,76.0,372.92368526624745,10.545454545454545,3932.6497718986093,2,0,1,1,0,6,8,0.1159,3,3,3,3,1,1,7,0,7,7,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/io/DecoderFactory.java/,"org.apache.avro.io.DecoderFactory",release-1.3.2,201,49,16,8,8,21,18,60,29.0,78.0,378.92251761995067,11.428571428571429,4330.543058513722,3,0,0,1,0,1,2,0.0100,1,1,1,1,1,1,232,0,232,232,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/io/DatumReader.java/,"org.apache.avro.io.DatumReader",release-1.3.2,11,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,1,1,1,1,1,1,0,0,0,0,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/AvroTypeException.java/,"org.apache.avro.AvroTypeException",release-1.3.2,6,4,2,0,0,2,0,3,2.0,3.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,1,1,1,1,1,1,0,0,0,0,0,1,no,no
