Dataset,Classifier,Run,Fold,Accuracy,Precision,Recall,F1,Kappa,AUC,NPofB20
avro_dataset.csv,RANDOM_FOREST,0,0,99.2236,1.0000,0.7619,0.8649,0.8609,0.9473,0.9524
avro_dataset.csv,RANDOM_FOREST,1,1,99.6894,1.0000,0.9048,0.9500,0.9484,0.9900,0.9524
avro_dataset.csv,RANDOM_FOREST,0,5,99.8447,1.0000,0.9524,0.9756,0.9748,0.9744,0.9524
avro_dataset.csv,RANDOM_FOREST,0,1,99.3789,0.9474,0.8571,0.9000,0.8968,0.9820,1.0000
avro_dataset.csv,RANDOM_FOREST,0,3,99.2236,0.9444,0.8095,0.8718,0.8678,0.9325,0.8571
avro_dataset.csv,RANDOM_FOREST,0,2,100.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
avro_dataset.csv,RANDOM_FOREST,0,8,99.0669,1.0000,0.7143,0.8333,0.8287,0.8619,0.9524
avro_dataset.csv,RANDOM_FOREST,0,9,99.6890,1.0000,0.9048,0.9500,0.9484,0.9866,1.0000
avro_dataset.csv,RANDOM_FOREST,0,4,99.6894,0.9524,0.9524,0.9524,0.9508,0.9838,1.0000
avro_dataset.csv,RANDOM_FOREST,1,0,99.8447,1.0000,0.9524,0.9756,0.9748,0.9982,1.0000
avro_dataset.csv,RANDOM_FOREST,0,7,99.6894,1.0000,0.9091,0.9524,0.9508,0.9693,0.9545
avro_dataset.csv,RANDOM_FOREST,0,6,100.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
avro_dataset.csv,RANDOM_FOREST,1,2,99.8447,1.0000,0.9524,0.9756,0.9748,0.9993,1.0000
avro_dataset.csv,RANDOM_FOREST,1,4,99.8447,1.0000,0.9524,0.9756,0.9748,0.9657,0.9524
avro_dataset.csv,RANDOM_FOREST,1,7,99.5342,1.0000,0.8636,0.9268,0.9244,0.9179,0.9091
avro_dataset.csv,RANDOM_FOREST,1,3,99.3789,1.0000,0.8095,0.8947,0.8916,0.9544,0.9524
avro_dataset.csv,RANDOM_FOREST,1,6,99.5342,1.0000,0.8636,0.9268,0.9244,0.9986,1.0000
avro_dataset.csv,RANDOM_FOREST,2,0,99.0683,1.0000,0.7143,0.8333,0.8287,0.8863,0.8571
avro_dataset.csv,RANDOM_FOREST,1,5,99.6894,1.0000,0.9048,0.9500,0.9484,0.9810,1.0000
avro_dataset.csv,RANDOM_FOREST,1,8,99.3779,1.0000,0.8095,0.8947,0.8916,0.9784,0.9048
avro_dataset.csv,RANDOM_FOREST,2,1,100.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
avro_dataset.csv,RANDOM_FOREST,2,2,99.2236,0.9444,0.8095,0.8718,0.8678,0.9633,0.9524
avro_dataset.csv,RANDOM_FOREST,1,9,99.3779,1.0000,0.8095,0.8947,0.8916,0.9346,0.9048
avro_dataset.csv,RANDOM_FOREST,2,3,99.3789,1.0000,0.8095,0.8947,0.8916,0.9892,1.0000
avro_dataset.csv,RANDOM_FOREST,3,0,98.9130,1.0000,0.6667,0.8000,0.7946,0.9329,0.9524
avro_dataset.csv,RANDOM_FOREST,2,4,99.3789,1.0000,0.8095,0.8947,0.8916,0.9442,0.9524
avro_dataset.csv,RANDOM_FOREST,2,5,99.3789,1.0000,0.8095,0.8947,0.8916,0.9580,0.9524
avro_dataset.csv,RANDOM_FOREST,2,9,99.8445,1.0000,0.9524,0.9756,0.9748,0.9972,1.0000
avro_dataset.csv,RANDOM_FOREST,3,2,99.8447,1.0000,0.9524,0.9756,0.9748,1.0000,1.0000
avro_dataset.csv,RANDOM_FOREST,2,7,99.8447,1.0000,0.9545,0.9767,0.9759,0.9871,0.9545
avro_dataset.csv,RANDOM_FOREST,2,6,99.8447,1.0000,0.9545,0.9767,0.9759,1.0000,1.0000
avro_dataset.csv,RANDOM_FOREST,3,1,99.8447,1.0000,0.9524,0.9756,0.9748,0.9998,1.0000
avro_dataset.csv,RANDOM_FOREST,2,8,99.3779,1.0000,0.8095,0.8947,0.8916,0.9288,0.8095
avro_dataset.csv,RANDOM_FOREST,3,3,99.8447,1.0000,0.9524,0.9756,0.9748,0.9995,1.0000
avro_dataset.csv,RANDOM_FOREST,3,5,99.5342,1.0000,0.8571,0.9231,0.9207,0.9812,1.0000
avro_dataset.csv,RANDOM_FOREST,3,4,99.6894,1.0000,0.9048,0.9500,0.9484,0.9344,0.9048
avro_dataset.csv,RANDOM_FOREST,3,6,99.5342,0.9524,0.9091,0.9302,0.9278,0.9723,0.9545
avro_dataset.csv,RANDOM_FOREST,3,7,100.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
avro_dataset.csv,RANDOM_FOREST,3,9,99.3779,1.0000,0.8095,0.8947,0.8916,0.9332,0.9048
avro_dataset.csv,RANDOM_FOREST,4,2,99.6894,1.0000,0.9048,0.9500,0.9484,0.9570,0.9524
avro_dataset.csv,RANDOM_FOREST,4,1,99.5342,1.0000,0.8571,0.9231,0.9207,0.9663,0.9524
avro_dataset.csv,RANDOM_FOREST,4,0,99.8447,1.0000,0.9524,0.9756,0.9748,0.9638,0.9524
avro_dataset.csv,RANDOM_FOREST,4,4,99.5342,1.0000,0.8571,0.9231,0.9207,0.9892,1.0000
avro_dataset.csv,RANDOM_FOREST,3,8,99.5334,1.0000,0.8571,0.9231,0.9207,0.9928,1.0000
avro_dataset.csv,RANDOM_FOREST,4,5,99.8447,1.0000,0.9524,0.9756,0.9748,1.0000,1.0000
avro_dataset.csv,RANDOM_FOREST,4,3,99.6894,1.0000,0.9048,0.9500,0.9484,0.9882,1.0000
avro_dataset.csv,RANDOM_FOREST,4,6,99.5342,1.0000,0.8636,0.9268,0.9244,0.9276,0.9545
avro_dataset.csv,RANDOM_FOREST,4,7,99.8447,1.0000,0.9545,0.9767,0.9759,0.9902,1.0000
avro_dataset.csv,RANDOM_FOREST,4,8,99.5334,1.0000,0.8571,0.9231,0.9207,0.9393,0.9048
avro_dataset.csv,RANDOM_FOREST,4,9,100.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
avro_dataset.csv,RANDOM_FOREST,5,0,99.6894,1.0000,0.9048,0.9500,0.9484,0.9855,0.9524
